2020-03-03 16:26:52,088 Time, PID, Interaction Style, Mode, Event-type, ID, Alive?, Center
2020-03-03 16:32:03,860 P4, SM, Drag, Movement, 0, True, (349, 889)
2020-03-03 16:32:03,893 P4, SM, Drag, Movement, 0, True, (354, 886)
2020-03-03 16:32:03,926 P4, SM, Drag, Movement, 0, True, (354, 883)
2020-03-03 16:32:03,959 P4, SM, Drag, Movement, 0, True, (358, 882)
2020-03-03 16:32:03,992 P4, SM, Drag, Movement, 0, True, (362, 878)
2020-03-03 16:32:04,024 P4, SM, Drag, Movement, 0, True, (370, 872)
2020-03-03 16:32:04,058 P4, SM, Drag, Movement, 0, True, (378, 866)
2020-03-03 16:32:04,058 P4, SM, Drag, Movement, 0, True, (385, 859)
2020-03-03 16:32:04,091 P4, SM, Drag, Movement, 0, True, (392, 853)
2020-03-03 16:32:04,124 P4, SM, Drag, Movement, 0, True, (403, 846)
2020-03-03 16:32:04,158 P4, SM, Drag, Movement, 0, True, (404, 842)
2020-03-03 16:32:04,191 P4, SM, Drag, Movement, 0, True, (414, 839)
2020-03-03 16:32:04,224 P4, SM, Drag, Movement, 0, True, (423, 833)
2020-03-03 16:32:04,257 P4, SM, Drag, Movement, 0, True, (430, 830)
2020-03-03 16:32:04,290 P4, SM, Drag, Movement, 0, True, (433, 826)
2020-03-03 16:32:04,323 P4, SM, Drag, Movement, 0, True, (437, 825)
2020-03-03 16:32:04,357 P4, SM, Drag, Movement, 0, True, (438, 824)
2020-03-03 16:32:04,390 P4, SM, Drag, Movement, 0, True, (441, 825)
2020-03-03 16:32:04,423 P4, SM, Drag, Movement, 0, True, (433, 832)
2020-03-03 16:32:04,456 P4, SM, Drag, Movement, 0, True, (430, 838)
2020-03-03 16:32:04,490 P4, SM, Drag, Movement, 0, True, (427, 843)
2020-03-03 16:32:04,524 P4, SM, Drag, Movement, 0, True, (422, 846)
2020-03-03 16:32:04,557 P4, SM, Drag, Movement, 0, True, (417, 850)
2020-03-03 16:32:04,557 P4, SM, Drag, Movement, 0, True, (408, 859)
2020-03-03 16:32:04,590 P4, SM, Drag, Movement, 0, True, (403, 866)
2020-03-03 16:32:04,623 P4, SM, Drag, Death, 0, False, (-500, -500)
2020-03-03 16:32:06,264 P4, SM, Drag, Switch, 0, False, (-500, -500)
2020-03-03 16:32:06,264 P4, SM, Highlight, Switch, 0, False, (-500, -500)
2020-03-03 16:32:07,912 P4, SM, Highlight, Movement, 0, True, (-500, -500)
2020-03-03 16:32:07,945 P4, SM, Highlight, Movement, 0, True, (405, 851)
2020-03-03 16:32:07,980 P4, SM, Highlight, Movement, 0, True, (406, 852)
2020-03-03 16:32:08,014 P4, SM, Highlight, Movement, 0, True, (406, 852)
2020-03-03 16:32:08,047 P4, SM, Highlight, Movement, 0, True, (406, 852)
2020-03-03 16:32:08,081 P4, SM, Highlight, Movement, 0, True, (406, 854)
2020-03-03 16:32:08,113 P4, SM, Highlight, Death, 0, False, (-500, -500)
2020-03-03 16:32:08,816 P4, SM, Highlight, Movement, 0, True, (-500, -500)
2020-03-03 16:32:08,850 P4, SM, Highlight, Movement, 0, True, (638, 878)
2020-03-03 16:32:08,882 P4, SM, Highlight, Movement, 0, True, (632, 876)
2020-03-03 16:32:08,915 P4, SM, Highlight, Movement, 0, True, (626, 873)
2020-03-03 16:32:08,949 P4, SM, Highlight, Movement, 0, True, (620, 872)
2020-03-03 16:32:08,984 P4, SM, Highlight, Movement, 0, True, (620, 872)
2020-03-03 16:32:08,984 P4, SM, Highlight, Movement, 0, True, (614, 872)
2020-03-03 16:32:09,017 P4, SM, Highlight, Movement, 0, True, (613, 871)
2020-03-03 16:32:09,050 P4, SM, Highlight, Death, 0, False, (-500, -500)
2020-03-03 16:32:11,294 P4, SM, Highlight, Movement, 0, True, (-500, -500)
2020-03-03 16:32:11,328 P4, SM, Highlight, Movement, 0, True, (616, 614)
2020-03-03 16:32:11,361 P4, SM, Highlight, Movement, 0, True, (612, 612)
2020-03-03 16:32:11,394 P4, SM, Highlight, Movement, 0, True, (612, 612)
2020-03-03 16:32:11,427 P4, SM, Highlight, Movement, 0, True, (613, 614)
2020-03-03 16:32:11,427 P4, SM, Highlight, Movement, 0, True, (612, 616)
2020-03-03 16:32:11,460 P4, SM, Highlight, Movement, 0, True, (612, 617)
2020-03-03 16:32:11,493 P4, SM, Highlight, Movement, 0, True, (612, 618)
2020-03-03 16:32:11,526 P4, SM, Highlight, Movement, 0, True, (612, 618)
